description,abbreviation,translation
"Один из Антиповских островов, 500 м. в длину и 200 м. в ширину. Находится в оз.Космозеро в 150 м восточнее Большого Антиповского (Поповского) острова.",м.,метров
"Один из Антиповских островов в Космозере. 1,5 км в длину и 350 м. в ширину. о. Сильный [ТК]",о.,остров
"общее название для двух островных деревень на одноименном озере: Большой Остров / карел. Tobd’suor’ или Tobd’kylä (-kylä ‘деревня’) и Малый Остров / карел. Pien’suor’ (Pien’kylä). Поселение имеет древнюю историю, в ПКОП 1563 г. в его составе отмечены три деревни.",г.,год
"общее название для двух островных деревень на одноименном озере: Большой Остров / карел. Tobd’suor’ или Tobd’kylä (-kylä ‘деревня’) и Малый Остров / карел. Pien’suor’ (Pien’kylä). Поселение имеет древнюю историю, в ПКОП 1563 г. в его составе отмечены три деревни.",г.,год
"Общее название группы островов у северного берега о. Шуйостров, вокруг Бережной Долгой Луды.",о.,остров
"Нитти - осушенное болото, находящееся в окрестностях с. Крошнозеро. Sie on kuivattu suo, i sie kazvatettih kartohkua da heiniä... konzu oli souhozu, sinne käydih heiniä varustamah. Nu a kun vie kuivattu ei olluh, vahnat rahvahat Nittih hyviä heinykohtua ei annettih heile. Suol sie niitettih heiniä omil lehmil. Sinne on 7 km. Nitinsuo on ylen suuri.",с.,село
"ниже ж/д моста, в 300 м. Здесь же остров Леветь.",м.,метров
"Несколько островов к юго-востоку от деревни, к югу от м. Камень",м.,мыс
"несколько деревень при оз. Сидозеро (Анцыферовская, Яковлевская, Вавшуковская), населенные, согласно СНМ 1873 г., карелами, однако карельские соответствия официальных русских наименований не зафиксированы",г.,год
"Небольшой, узкий по форме, мыс Белого моря напротив о. Столбиха, следующий к югу за м. Толстик. На мысе много змей.",о.,остров
"Небольшой ручей, впадает в Белое море у г. Яковлевская",г.,гора
"Небольшой ручей, берет начало на болоте к востоку от с. Нюхча, впадает в Белое море в Саруцкую губу. Этот ручей был границей с/х угодий с. Нюхча и д. Унежма.",с.,село
Небольшой плоский остров между о. Мягостров и о. Голый Сосновец. Имеет навигационное значение – морской путь проходит мористее Девичьей Луды.,о.,остров
Небольшой островок между о.Тумище и о. Молчанов.,о.,остров
Небольшой островок между материком и о. Медвежий (на карте не видно). На острове кузнец Бажёнов деньги спрятал.,о.,остров
Небольшой островок в Белом море рядом с о. Горелый Большой,о.,остров
Небольшой остров к северу от Канзанаволока. Остров к ю/з от о. Колгостров.,о.,остров
Небольшой остров в Белом море у о. Большой Ревяжий.,о.,остров
небольшой остров Белого моря к югу от деревни между о. Большим и о. Кокков 2-м,о.,остров
Небольшой мысок Сумозера у д. Ёндогуба.,д.,деревня
"Небольшой мысок к северу от деревни Гридино, в 1 км от м. Кирбей на север",м.,мыс
"Небольшой мыс к северу от деревни, в 1 км от м. Кирбей на север",м.,мыс
"Небольшой каменистый мыс на западе от д. Кевятозеро (на противоположном берегу), недалеко от болота Kohtašuo и мыса Jütanniemi.",деревня,деревня
"Небольшой залив напротив д. Машозеро. Здесь песчаный берег, когда-то были поля, на которых сеяли хлеб.",д.,деревня
Небольшой залив Белого моря под г. Гурьи.,г.,гора
"Небольшое узкое по форме озеро в 1 км к югу от деревни, за ним находится о. Виловатое. Соединено ручьем с Виловатой губой",о.,озеро
Небольшое озеро к северо-западу от с. Нюхча. Находится рядом с зимником. карта: Самоедское,с.,село
"Небольшое озеро к северо-западу от с. Нюхча, за Руйгозером. Соединено ручьем с Бол. Вирандозером. Подходит к краю Вирандозерского мха.",с.,село
"Небольшое озеро к западу от д. Ёндогуба, через него протекает р. Ёнга.",д.,деревня
Небольшое озеро в районе с. Нюхча. карта: Майозеро,с.,село
Небольшое озеро в районе д. Лапино.,д.,деревня
"небольшое озеро в районе д. Ёндогуба. из него течёт Мегручей, в нём ловится мелкая рыба.",д.,деревня
"Небольшое оз. возле оз. Valgeijärvi в 3-4 км от дер., исток р. Suojogi - левый приток ручья Папиноя. Заболоченные побережья, особенно южный берег озера и берега ручья Suojogi.",р.,река
Небольшое картофельное поле на личном подворье Мухоровых. Разработано 15 лет назад в 2009 г. Федором Овчинниковым.,г.,год
Небольшие острова в Белом море к юго-востоку от г. Кемь.,г.,город
Небольшая лудушка в Белом море в районе г. Кемь.,г.,город
Небольшая луда-островок у о. Малый Жужмуй.,о.,остров
"Небольшая ламбука в 700 м. от дер. Репное озеро к северу, недалеко от оз. Тюрюмюзярви.",м.,метров
"Небольшая заводь, ограждённая искусственно созданным валом из камней в р-не ур. Ленинградка на о. Мягостров. Использовалась для защиты колхозных лодок от шторма.",о.,остров
Небольшая горка в бору Бревенник в районе с. Нюхча.,с.,село
Небольшая возвышенность на болоте у г. Сеннуха,г.,гора
"Небольшая возвышенность к северу от с. Нюхча, недалеко от тракта.",с.,село
находится в 100 км от г. Петрозаводска,г.,город
находится в 100 км от г. Петрозаводска,г.,город
Населенный пункт у п. Онежский.,п.,посёлок
"Нас. пункт, входящий в черту г. Пудож.",г.,город
наволок о. Керети,о.,озеро
Наволок в северо-восточной части о. Кижи.,о.,остров
"на востоке Ладожского озера, северная оконечность о. Сало",о.,остров
"Мыс, небольшой полуострво на восточном берегу оз. Путкозера, к северо-западу от д. Коровниково, трапециевидной формы",д.,деревня
Мыс Hulkonniemi омывается зал. Hulkonlahti. Расположен на о. Тамханка.,о.,остров
Мыс р. Шуя в районе Шуерецкого.,р.,река
Мыс р. Сумы в районе д. Воренжа.,р.,река
Мыс р. Кемь.,р.,река
Мыс р. Кемь.,р.,река
"Мыс при проливе Салосамском, в 7 верстах от погоста Толвуйского. На мысу часовня во имя преп. Зосимы и Савватия. По преданию здесь преп. Савватий отдыхал в 1429 г. во время пути в Соловки, и отсюда впоследствие преп. Зосима отправился на Соловецкие острова [Толвуйский приход Петрозаводского уезда. ОГВ, 1891, № 81, с.822].",г.,год
"мыс оз. сумозера на о. Сумострове, на нём сосновый лес. Находится на противоположной от деревни стороне острова.",о.,остров
"Мыс о. Большой Климецкий на Онежском озере, в районе д. Конда.",о.,остров
Мыс о. Бол. Жужмуй,о.,остров
"Мыс на южн. берегу о. Мягостров. Выход скальных пород. Ветер, который дует со стороны Красной Щельи, называется сток или рыбный - рыбу приносит.",о.,остров
"Мыс на ю/в стороне о. Сало (оз. Ведлозеро). На этом мысу растут осины, отсюда и название.",о.,остров
"Мыс на ю/в берегу о. Еглов, напротив деревни. Примыкает к мысу Маймас. Низкое место.",о.,остров
"Мыс на севере п-ова Куднаволок, находится западнее п-ова Варнаволок. Длина примерно 500 м.",м.,метров
Мыс на сев. оконечности о. Еглов.,о.,остров
"Мыс на р. Миге, на нем одноименное угодье д. Пяшница.",р.,река
"Мыс на р. Кемь, выше Северенского порога. Здесь были установлены заборы для вылова сига. Привязка к карте м.б. не является точной, ландшафт изменился из-за поднятия воды для ГЭС.",р.,река
"Мыс на р. Андога, угодье на нем.",р.,река
Мыс на р. Андога в окрестностях д. Олькино. На нем одноименный покос.,р.,река
Мыс на о. Корга.,о.,остров
Мыс на о. Канзанаволок.,о.,остров
Мыс на о. Бол. Жужмуй.,о.,остров
Мыс на о. Бол. Жужмуй,о.,остров
Мыс на о. Бол. Жужмуй,о.,остров
Мыс на крутом берегу р. Журавка или Ольховица (окрестности г. Пудож).,г.,город
Мыс на западном берегу озера Вашозера. К западу от о. Морозова.,о.,остров
"Мыс на зап. берегу Климецкого о-ва, к югу от деревни. Напротив о. Грыз.",о.,остров
"Мыс на вост. берегу о. Мягостров. Построена изба в конце 1990-х гг. Синицыным Александром Васильевичем, жителем с. Колежма. Личная тоня.",о.,остров
"Мыс за с. Сухое. Там стояли амбары, где разбирали рыбу.",с.,село
"Мыс в южной части о. Сало (оз. Ведлозеро). Здесь очень хороший пляж (песок). Раньше был очень густой лес, затем его вырубили.",о.,остров
"Мыс в сев. части оз. Ведлозеро (также к нему относятся 3 островка). В 1941 г. сюда привезли 10 тыс. кубометров дров - березу (чурки по 2 - 2,5 м). Началась война и дрова остались в воде. Во время войны финны распилили часть чурок на дрова, но большая часть осталась в озере. И до сих пор дрова крепкие, не сгнили.",г.,год
Мыс в Онежском озере у п. Онежский.,п.,посёлок
"Мыс в оз. Лижмозеро, находящийся на восточном берегу о. Большой.",о.,остров
Мыс в западной части о. Большой Леликовский на Онежском озере.,о.,остров
"Мыс в западной части о. Бол. Леликовский, на Онежском озере.",о.,остров
"Мыс в западной части о. Бол. Леликовский, на Онежском озере.",о.,остров
Мыс Белого моря. Напротив него о. Хедостров.,о.,остров
Мыс Белого моря в районе с. Нюхча,с.,село
Мыс Белого моря в районе г. Кемь,г.,город
"Мох в 10 км на запад от д.Юсова Гора. Пожни. Болото на запад от Кузарнды, в истоке р. Тамбицы, у хутора Бураки. Рядом покосы.",р.,река
Морской залив к северу от Колежмы. Старинная наважья тоня. С 1930 г. и по настоящее время (2021 г.) – один из основных промысловых участков колхоза «Заря Севера» и ИП с. Колежма,г.,год
"Место у Камня на о. Кижи, напротив магазина у д. Ямка.",о.,остров
Место на о. Фокенсуари в оз. Сямозеро,о.,остров
"Место за железной дорогой, у старого русла реки, в лес от канала 300 м. Там высокая скала, поля с глинистой землей. Когда-то камень взрывали. Сейчас дачи.",м.,метров
"Место в окрестностях д. Борково, туда за грибами ходили.",д.,деревня
Место в 100 м. от реки Шуи (левая сторона). В этом месте когда-то жило два монаха в келье. Рядом были кресты поставлены. Этих монахов убили. Привязка к карте м.б. не совсем точной.,м.,метров
Местность в 4 км от д. Колово в сторону г. Пудож. Раньше был кирпичный завод.,г.,город
Местечко между д. погост и д. Рубцова (Салмозеро).,д.,деревня
Мельница в д. Шелтозеро.,д.,деревня
Мель на р. Мига у д. Пяшница.,р.,река
"Мелкий и пересыхающий залив Белого моря, находящийся напротив о. Кабатов",о.,остров
Маяк на о. Тит-Луда. Перестал работать в конце 1990-х гг. Деревянная вышка маяка служила хорошим ориентиром мореплавателям до лета 2021 г. (разрушена штормом). Название Титлуда не использовалось местными жителями. На острове колония большого баклана.,г.,год
Маленький островок у южной оконечности о. Еглов.,о.,остров
"Маленький островок к вост. от о. Канзанаволок, между о. Канзанаволок и о. Марьестров.",о.,остров
"Маленький островок (как мякушка) на Онежском озере, за северной оконечностью полуострова Клим, рядом с о. Салоостров.",о.,остров
"Маленькие островки в Уницкой губе, между о. Пуростровом и о. Кокой.",о.,остров
Луды в Белом море в районе с. Поньгома,с.,село
"Луда, место рыбалки в Онежском озере у п. Онежский.",п.,посёлок
"Луда, место рыбалки в Онежском озере у п. Онежский.",п.,посёлок
"Луда у о. Сосновец, в 500 м. на с/в от деревни.",м.,метров
Луда на восток от о. Кижи.,о.,остров
"Луда в святухе, в 150 м. на ю/з от острова Острадний.",м.,метров
"Луда в Онежском озере у п-ова куднаволок, примерно в 200-300 м на с. - с.-в.",с.,село
Луда в оз. Карниж у д. Нюхово.,д.,деревня
"Луда в Кефтеньгубе, напротив д. Кефтеницы.",д.,деревня
"Луда в Белом море к северо-востоку от с. Нюхча. На ней стоял крест, который предупреждал об опасности, поскольку в большую воду её не видно и можно было попасть на скалу.",с.,село
"Луда в Белом море к северо-востоку от с. Нюхча. На ней стоял крест, который предупреждал об опасности, поскольку в большую воду её не видно и можно было попасть на скалу.",с.,село
"Луда в Белом море к северо-востоку от с. Нюхча. Луда поросла кустарником, который придает луде зеленый оттенок издали.",с.,село
Луда в Белом море к востоку от с. Колежма. Карт. о. Мал. Кузьмин,о.,остров
Луг/пожня д. Юргилицы.,д.,деревня
Лесоучасток в 7 км от п. Колово.,п.,посёлок
Лесные урочища в районе д. Новиково.,д.,деревня
"Лесное урочище по дороге из д. Водла в д. Падун, в районе горы Крутая бывш. нивы.",д.,деревня
"Лесное урочище по дороге из д. Водла в д. Падун, в районе горы Крутая бывш. нивы.",д.,деревня
"Лесное урочище по дороге в с. Кубово. Полянки к сев. от д. Сума. Пахотное угодье на лев. берегу р. Сума, по дороге в д. Кубово.",с.,село
"Лесное озеро на левом берегу р. Колоды, против устья р. Калма, соединяется с оз. Бол. Вирозеро ручьем Вироручей.",р.,река
"Лесное озеро на левом берегу р. Колоды, против устья р. Калма, соединяется с оз. Бол. Вирозеро ручьем Вироручей.",р.,река
Лесная ламбина возле г. Hietamäki.,г.,гора
"Лесистый и небольшой мыс, находится напротив Избяной луды, не доезжая до м. Гиблова со стороны деревни",м.,мыс
"Лес у с. Шелтозеро, тут пасли коров.",с.,село
Лес у п. Онежский.,п.,посёлок
Лес п. Онежский.,п.,посёлок
"Лес на западном берегу Доброй Губы,в 700 м. к ю/в от дер. Микково.",м.,метров
Лес д. Алексеево.,д.,деревня
левый приток р. Видлица,р.,река
левый приток р. Видлица,р.,река
Левый берег реки Нюхча в окрестностях с. Нюхча.,с.,село
"Ламба, находящаяся недалеко от с. Крошнозеро. Находится севернее оз. Кайдуярви.",с.,село
Ламба в районе д. Машозеро. Через него протекает р. Тунгуда. В оз. тянули невод в яме Alizentahkolamminhauda.,р.,река
Ламба в районе д. Кевятозеро.,д.,деревня
"Куст поселений на берегах одноименного озера, распол. в 22 км восточнее п. Кубово.",п.,посёлок
"Куст поселений (бывш. Нигижемская волость, с центром в д. Пречиста - Пречистинская церковь) в 4 км от Каршево: Погост, Подберезье, Алексеевская, Матвеевская, Гора Амозова, Гора Яковлева. Населенный пункт Каршевского с/совета, Пудожского района. -Дер. на рецы на Нежеме словет Ларивоновская -Дер. на Негижме -Дер. на Негижме на Урмо-озерки у часовни, а ныне в той деревне поставлена ново церковь Рожество пречистые -Дер. в Негижме же на Урмо-озере словет Олексеевская: Дорофейко Олексеев -Дер. на Негижме на Урмо-озерко Корчагинская [ПКОП 1563 г., с. 181]",г.,год
Крупный камень на побережье Белого моря в 3 верстах от дер. Колвица. Здесь была одноменная сельдяная тоня. В самом начале XX века эта территория входила в сферу хозяйственного использования жителей село Кандалакша. В 1900 г. колвичане получили от Кандалакши разрешение пользоваться р. Колвицей и сельдяными тонями до Синего камня (Никольский 1927: 155).,г.,год
"Крупные поля жителей с. Нюхча под г. Игнашиха. Низкое место, была проведена мелиорация, канавы прокопаны.",г.,гора
"Крупные поля жителей с. Нюхча под г. Игнашиха. Низкое место, была проведена мелиорация, канавы прокопаны.",г.,гора
Крупное озеро к востоку от д. Лапино (далеко).,д.,деревня
"Крест в 4 км от Толвуйского Погоста, на зимней дороге в Падмозеро. Построен в 1650 г. Строитель - некто Евдоким. Он укрывался в том месте под толстым деревом, избегая рекрутского набора. Он дал обет построить часовенку и крест в случае избавления от поимщиков, что и исполнил. Крест этот до настоящего времени называется Евдокимовым крестом. [Толвуйский приход // ОГВ, 1891, № 81].",г.,год
Корги в 200 м. от острова Пучеха. Затопляются водой.,м.,метров
Колхозная изба между м. Белужий и ур. Ленинградка на о. Мягостров.,м.,мыс
Колодец д. Сенькино.,д.,деревня
Колодец в д. Papimposad. (в составе с. Шолтозеро),с.,село
"Кладбище, находящееся на противоположном берегу озера Гомсельга от д. Гомсельга.",д.,деревня
"Кладбище жителей Кутка, под г. Малая Игнашиха. Привязка к карте не является точной.",г.,гора
"Кладбище в 2-3 км. от с. Нюхча за Виручьем. Здесь были похоронены люди, которые умерли от холеры в 1914 году.",с.,село
Канава от д. Пяшница к р. Миге.,р.,река
Камень в р. Нюхча ниже по течению от с. Нюхча. Здесь когда-то утонул мужчина.,р.,река
Камень в р. Нюхча в Нижней Моршихиной Лахте.,р.,река
Камень в 800 м к ю.-з. от д. Загорье.,д.,деревня
"Каменная гряда, обнажающаяся в отлив. Тянется от о. Карпушка к берегу.",о.,остров
Каменистый мыс напротив о. Максимиха,о.,остров
Каменистая отмель у о. Сеннуха.,о.,остров
Каменистая отмель на юге о. Мягостров.,о.,остров
Каменистая отмель на юге о. Мягостров.,о.,остров
Каменистая отмель (остров) от Слободы до Гайжево. Используется также как второе название Слободы (часть г. Кемь),г.,город
"Кайдуярви - озеро, находящееся недалеко от с. Крошнозеро, восточнее оз. Крошнозеро, севернее оз. Шогарви. Sinne suvaittih kävvä... perehen kel da sizäret.",с.,село
"к северу от г. Сортавалы, близ реки Каранкооя",г.,город
к северо-западу от г. Питкяранта,г.,город
к северо-западу от г. Питкяранта,г.,город
"Искусственно набранная коса из валунов, защищающая заводь (Озёрко) от волн с открытого моря в р-не ур. Ленинградка на о. Мягостров.",о.,остров
Индола у г. Ценжала (Ченжала).,г.,гора
Значительная губа Белого моря к северо-востоку от деревни Калгалакша со множеством островов и луд. Находится между материком и о. Оленим,о.,остров
"Зимняя дорога из Кеми в д. Летняя Река, от г. Горелиха на север.",г.,гора
Зимняя дорога в г. Кемь.,г.,город
Зимник на покосы к г. Рощелья.,г.,гора
"Земельное угодье бывшего Муромского монастыря. Пустошь, принадлежавшая Муромскому монастырю в 1582 г., выкашивали сена 20 копен.",г.,год
"Земельное угодье бывшего Муромского монастыря. Пустошь, принадлежавшая Муромскому монастырю в 1582 г., выкашивали сена 20 копен.",г.,год
Залив Hulkonlahti омывает с севера о. Тамханка и мыс Hulkonniemi. Граничит с прол. Келетинсалми.,о.,остров
"Залив Онежского озера в 8 км на с., с/з от д. Суйсарь.",с.,севере
Залив озера Кончезеро в районе д. Косалма.,д.,деревня
"Залив на р. Водла, вверх по реке от д. Водла.",р.,река
Залив на Онежском озере у п. Онежский.,п.,посёлок
Залив на оз. Водлозеро у д. Кевасалма.,д.,деревня
Залив на зап. берегу о. Колгостров.,о.,остров
"Залив Ладожского озера, через него мост, объединяющий разные районы г. Сортавала. Переходит на юге в залив Läppäjärvi. Короткой протокой Vakkosalmi соединяется с оз. Airanne.",г.,город
Залив в юго-вост. части о. Кижи (где ныне д. Сергеева). Воробьяне там всё приставали.,о.,остров
Залив в Уницкой губе у о. Куткостров.,о.,остров
Залив в оз. Лижмозеро к юго-востоку от о. Синягостров.,о.,остров
"Залив в вост. части о. Сало (оз. Ведлозеро). Это место имеет открытое пространство, отсюда и название.",о.,остров
"Залив Белого моря к западу от г. Кандалакша, в которую впадает река Кандарека.",г.,город
"Залив Белого моря в районе с. Нюхча. Это западная часть Саруцкой губы, от мыса Кустов наволок до Варничного наволока.",с.,село
зал. Перттилахти расположен восточнее г. Мустамяки (высота 61.2),г.,гора
Закол на р. Кемь из-под Заборного порога. Ставится заводь к Тюрюкаллиеву. Привязка к карте не является точной.,р.,река
"Загубина расположена на западном берегу Матгубы, напротив г. Кондопога.",г.,город
Загубина р. Шуя. Привязка к карте м.б. не совсем точной.,р.,река
Загубина на р. Сумарека.,р.,река
загубина (песчаный берег) оз. сумзера на о. Сумостров. Раньше здесь купались только женщины. Здесь купаются жители деревни.,о.,остров
"Заводь в оз. Ухтомьярское, рядом с о. Шубач, Катька утонула.",о.,остров
"Забор для ловли мелкой рыбы, над Боярской губой с островками у о. Пухкила (Пуккила). Привязка к карте м.б. не совсем точной.",о.,остров
"Забор для ловли мелкой рыбы у о. Гусинец, с летней стороны, ниже и ближе к нему. Привязка к карте м.б. не совсем точной.",о.,остров
"Дорога, ведущая от г. Пудож до п. Кодачи.",п.,посёлок
"Дорога, ведущая на пристань к Онежскому озеру у с. Шелтозера.",с.,село
Дорога на р. Шолу и далее в дер. Мартыновское (Лошны).,р.,река
Дорога в г. Пудож.,г.,город
Дом в д. Сеерный Конец.,д.,деревня
Дом в д. Пряккиля. Старый дом 1927 г.,г.,год
Дом в д. Гижино.,д.,деревня
"Длинные, далеко вдающиеся в море низменные полуострова в сев.-зап. части о. Мягостров. Солончаковые луга. Высокие приливы и ветровые нагоны могут их затапливать.",о.,остров
"Деревня. библиотека, Vas'ke - Sen'kalankodi (Абрамов), Makarie (Trubetskoi), Makarie (Антипин), sluuži Kemissä, Iivana (Trubetskoi), Vas'ke (Antipinantalo), богатый, 2 этажа, хозяин арестован. Seppä-Iivana (Абрамов), Prokon (Антипин), Hodora-emändä (Антипин), rikkaudu talo oli. Papinkodi Saša (Rinsin) Александр Рынцын, председатель, Miihkali (Полиектов Михаил Андреевич), Hočolankodi (Филиппов), Miču (Дмитрий), Luškovantalo (Лужков) - venäläini, Vas'ke - velli (karjalaini), Fed'an Ulli (Полиектова), Hodorankodi (Ананьин), Saška (Александр) (Ананьин), Marfa (Ананьин), Dyrgi, Levonkodi (Яковлев). Kolmičči palo kylä, jäi vai kirikkö da popovskoi škola. Venehet niis palettih. Nittoh pienie kodiloi stroittih. Pappi vuidi ymbäri pyörähti rissin kera. Hyö sohraniuvuttih. Второй ряд домов: Juakko (Кондратьев), lapset: Načči, Ol'oksei (Полиектов) - Алексей Федорович (моряком был, в Норвегию ходил. За одно лето зарабатывали на корову, лошадь и дом могли построить), lapset: Mika, Iibu (1 kuoli), Fedka (1 kuoli), Anni, Antista(Анфиса), Liiska Fed'a (Гаврилов), pojat: Fedän Ser'o, Ol'oksei (арестован), Muarie (Нечаева) D'yrgi (Егор) погиб на войне (Кондратьев), Kirilä (Пабуев), pojat: Mika da Lari - погиб на войне. Petra (Петр) (Савин), Saša (Александр) (Амосов), Iinakonkodi - Arka (Аркадий) (Пабуев), Griiša (Артемьев), Odr'ouna, Mikkula (Полиектов) арестован был судьей в Кеми 37 г., Iivana (Иван Кузьмич) (Полиектов), Paško da Miikula (арестован) - братья (Абрамов), Laukka, Mokki-tuatto, Simana-poiga (Антипин), papinškola kirikkö, pantih petazet (первые жители ловили птицу), kirikkö oli toizessa pakassa ... (?), tuldih švedat, poltettih da upotettih kellot. Ojan rannalla oli kirikkö. Melliččy - Haugipohjanoja.",г.,год
"Деревня, расположенная у юго-восточного края о. Карасозеро.",о.,озеро
"Деревня, расположенная к ю.-з. от с. Шуньга, за озером Валгомозеро.",с.,село
"Деревня, расположенная к с.-з. от с. Шуньга.",с.,село
Деревня севернее с. Ведлозеро,с.,село
Деревня при впадении р. Колода в р. Водла.,р.,река
"Деревня недалеко от г. Пудож, рядом с д. Левино.",г.,деревня
Деревня находится в 12 км к северо-западу от г. Питкяранта,г.,город
Деревня находится в 12 км к северо-западу от г. Питкяранта,г.,город
Деревня на ю/з от с. Ивановское.,с.,село
Деревня на сев. от с. Георгиевское.,с.,село
"Деревня на р. Рагнукса, в 33 км от г. Пудож, 592 жителя, входила в Авдеевский сельсовет.",р.,река
Деревня на р. Водла в 24 км от г. Пудож.,г.,город
"Деревня на правом берегу Кеми, в 5 км от истока: 1864 г. вся выгорела, была в 2 раза больше, чем потом, когда отстроилась вновь. Самая большая деревня в округе, поэтому называлась Великий Двор",г.,год
деревня на о. Кухка,о.,остров
деревня на о. Кухка,о.,остров
"деревня на левом берегу р. Важинки, между Согинским Погостом и с. Важины.",с.,село
"деревня на левом берегу р. Важинки, между Согинским Погостом и с. Важины",р.,река
"Деревня на изгибе р. Водла, недалеко от г. Пудож.",г.,город
"Деревня и ручей в 8 км от с. Шелтозеро, там покосы д. D´er´emišt.",с.,село
"деревня возле одноименной горы на берегу р. Videlend’ogi, рус. Железная гора – СНМ 1905 № 868, СНМ 1926 № 1738, СНМ 1933 № 1220",р.,река
"Деревня вблизи г. Пудож, на берегу р. Водла.",г.,город
"деревня в составе с. Янишполе , на берегу Сунозера",с.,село
деревня в составе с. Шуя,с.,село
Деревня в составе с. Шимозеро.,с.,село
Деревня в составе с. Шимозеро.,с.,село
Деревня в составе с. Шимозеро.,с.,село
"Деревня в составе с. Песчаное, в северном конце. Была часовня, ветряная мельница, ок 30 домов. Песок брали на берегу Онежского озера, глину копали на г. Коньюха. Жен брали из Кузаранды, Беляевщины, Тубозера. Колхоз Третий решающий год пятилетки. Фамилии жителей: Ореховы, Федоровы, Царевы, Лушины, Корешковы, Староверовы, Танины, Кузины, Зайцевы, Мугачевы, Катковы, Делесины/Гелесины, Курочкины, Гладышевы.",г.,гора
"деревня в составе с. Заозерье, на мысу оз. Логмозеро",с.,село
деревня в составе с. Виданы,с.,село
деревня в составе с. Виданы,с.,село
Деревня в составе с. Ведлозеро,с.,село
Деревня в составе Панинского сельсовета. 74 хозяйства до войны 238 человек в 1939 г. Колхоз Красная звезда Родина Восход. Концы деревни: Ганичев Край Гришкино Поляково. Раньше было 8 колодцев сейчас 3. В воде извести много. Фамилии жителей: Афанасьевы Богдановы Филипповы Ганичевы Поляковы Соловьевы Таничевы Николаевы и др.,г.,год
Деревня в 3 км от г. Пудож.,г.,город
Деревня в 15 км от с. Шимозеро.,с.,село
"Деревня (бывшая) на острове Бол. Леликовский, расположена у моста ведущего на о. Мал. Леликовский. Место на Бол. Леликовском острове, где жили кожевенник Нисканен, а затем Раутинен",о.,остров
"Деревня (бывш.) на ю/в берегу оз. Водлозеро, на берегу Чуяльской Лахты до войны ок. 20 хозяйств к/з XVII партсъезд - 1934 г. Деревня на вост. берегу оз. Водлозеро, в 8 км от Куганаволока.",г.,год
"Деревня (бывш.) на мысу, на зап. берегу оз. Водлозеро. До 1952 г. было ок. 20 дворов к/х Красный Кустарь. Деревня по дороге в д. Гольницы, в 12 км.",г.,год
"Деревня (бывш.) на берегу оз. Куккозеро. Раньше было 30 домов, школа, которая открылась после войны в 1946 г. В ней работали 2 учителя, учились 42 ученика. Ходили из д. Юргилица пешком 6 км. 'Смолу не заготавливали. Кому нужна была для хозяйственных нужд смола, лодку просмолить, гнали смолу из, например, смолистые пни выкапывали в лесу, уже выкорчеванное дерево, значит было. Пни смолистые. Вот эти пни, я помню, собирали. Потом, такое устройство было, я помню, мой отец, покойный, делал. Бочка такая, он там их сжигал, потом такое отверстие было, как бы канатка, и здесь ведро для смолы. А эти поленья смолистые горели в бочке, они растапливались, смола вытекала с нихи попадала сюда с канатки в ведро. Домашним способомтак гнали. Это была настоящая, натуральная смола.'",г.,год
"дер. по обоим берегам р. Mägriänjogi, тянется почти до самого г. Олонца",г.,город
"дер. по обоим берегам р. Mägriänjogi, тянется почти до самого г. Олонца",г.,город
дер. на берегу р. Tuulosjogi,р.,река
"дер. на берегу р. Mägriänjogi, = Rižu, Rižunhieru, Rižoilu, рус. Рыжула – СНМ 1905 № 989, Рижула, Рижул – СНМ 1926 № 2049, Рижула – СНМ 1933 № 1535",р.,река
Две небольшие возвышенности к северо-востоку от с. Нюхча на Подсюрежном болоте. Карта - г. Бессмертная карта: г. Бессмертная,г.,гора
Две небольшие возвышенности к северо-востоку от с. Нюхча на Подсюрежном болоте. Карта - г. Бессмертная карта: г. Бессмертная,г.,гора
"два острова шириной в 70 м, один длиной 300 м., другой 120 м. расположены в губе Святуха против деревни.",м.,метров
"Два острова в южной части архипелага Уйма, отделены проливом от о. Габостров.",о.,остров
"Два острова в южной части архипелага Уйма, отделены проливом от о. Габостров.",о.,остров
"Два острова в востчной части оз.Кемское, против залива Грязина, сухие, без деревьев один больше (150 м. Х 50 м.) другого.",м.,метров
Два озера в окрестностях п. Кубово.,п.,посёлок
Два недалеко отстоящих друг от друга каменистых мыса на берегу пролива Железные Ворота напротив сев. оконечности о. Берёзовец.,о.,остров
"Губа, 800 м на восток от д. Усть-Яндома.",д.,деревня
"Губа Онежского озера в южной части о. Большой Климецкий, между мысами Карнешнаволок и Мутолокша.",о.,остров
"Губа на восточном берегу Святухи, тянущаяся с юга на север примерно на 300-400 м.",м.,метров
"Губа к северо-западу от д. Саньки, в 300 м.",м.,метров
"Губа к северо-западу от д. Саньки, в 150 м., отделяется от Галайгубы узким полуостровом.",м.,метров
Губа в южной части о. Ерницкий.,о.,остров
Губа в северной части о. Ерницкий на Онежском озере.,о.,остров
Губа в Онежском озере напротив п. Онежский.,п.,посёлок
"Губа в Кондопожской губе Онежского озера, севернее о. Ламп (Ламбасостров), в окрестностях д. Тулгуба.",о.,остров
"Группа островов к северо-западу от о. Соколий, в окрестностях д. Тулгуба. Соколий пахали, покосы были.",о.,остров
"Группа небольших островов (луд) в Белом море к востоку от хутора Руйга, к северо-востоку от с. Нюхча. Острова каменистые, леса мало, растут только карликовые деревья, местами травянистые.",с.,село
